user_id,first_name,last_name,birth_date,contact_num,email,address,city_id
1,Dinda,Haryanto,1982-06-30,+62 (085) 073 8648,dinda.haryanto@example.com,Jl. Jakarta No. 5,10
2,Cayadi,Suwarno,1940-08-21,(072) 889 4161,cayadi.suwarno@example.com,Jl. Kiaracondong No. 9,9
3,Rahayu,Wahyuni,1964-09-15,+62 (0737) 444-8598,rahayu.wahyuni@example.com,Gg. Otto Iskandardinata No. 8,13
4,Ivan,Adriansyah,1941-12-29,+62 (071) 386 8143,ivan.adriansyah@example.com,Jalan Kapten Muslihat No. 2,28
5,Yulia,Suryono,1995-12-02,+62 (054) 098 2222,yulia.suryono@example.com,Gg. Peta No. 8,4
6,Dian,Sihombing,1976-12-25,(0348) 664 0469,dian.sihombing@example.com,Gang Astana Anyar No. 935,5
7,Shania,Sihombing,2004-01-14,(020) 826-6020,shania.sihombing@example.com,Jl. Sadang Serang No. 85,22
8,Melinda,Nababan,1957-07-08,+62 (057) 924-8718,melinda.nababan@example.com,Gang M.H Thamrin No. 574,22
9,Prasetyo,Thamrin,2001-12-07,081 369 7163,prasetyo.thamrin@example.com,Gg. Rungkut Industri No. 949,7
10,Vanya,Pudjiastuti,1950-02-11,+62-27-507-5466,vanya.pudjiastuti@example.com,Jalan Antapani Lama No. 6,25
11,Latika,Nasyiah,1957-08-25,+62 (0317) 331-8350,latika.nasyiah@example.com,Gang Sentot Alibasa No. 220,2
12,Darman,Fujiati,1981-11-21,(068) 644-0649,darman.fujiati@example.com,Jl. Suryakencana No. 29,25
13,Dariati,Handayani,1965-09-06,(0034) 719 4566,dariati.handayani@example.com,Jalan Jend. Sudirman No. 20,9
14,Silvia,Halim,1996-10-25,+62 (030) 256 1383,silvia.halim@example.com,Gang HOS. Cokroaminoto No. 54,4
15,Asirwanda,Hardiansyah,1998-06-18,+62 (755) 176 0499,asirwanda.hardiansyah@example.com,Jl. Pasir Koja No. 842,20
16,Salman,Wibowo,1994-06-23,+62-037-382-1524,salman.wibowo@example.com,Gang Jend. A. Yani No. 2,15
17,Adika,Hutagalung,1979-06-03,0850372738,adika.hutagalung@example.com,Jl. Setiabudhi No. 787,9
18,Vega,Thamrin,1946-08-11,+62 (08) 597-9068,vega.thamrin@example.com,Gg. Merdeka No. 837,24
19,Nyana,Mulyani,1973-05-07,(0474) 416 5132,nyana.mulyani@example.com,Gg. Gardujati No. 88,3
20,Bambang,Irawan,1983-04-07,(004) 577-2826,bambang.irawan@example.com,Jl. Gegerkalong Hilir No. 8,21
21,Warta,Mahendra,1971-11-07,0820719310,warta.mahendra@example.com,Jl. Gardujati No. 30,29
22,Labuh,Astuti,1967-09-15,(028) 590-1816,labuh.astuti@example.com,Gg. Bangka Raya No. 22,18
23,Jinawi,Mardhiyah,1984-05-13,(091) 723-2566,jinawi.mardhiyah@example.com,Gg. Dipatiukur No. 947,3
24,Gading,Nababan,1996-04-08,087 275 6311,gading.nababan@example.com,Gang M.T Haryono No. 0,4
25,Salwa,Wastuti,1995-01-15,(0239) 281 0461,salwa.wastuti@example.com,Jl. Bangka Raya No. 53,3
26,Zamira,Yolanda,1999-10-03,+62-17-769-9020,zamira.yolanda@example.com,Jalan Sukajadi No. 2,3
27,Umaya,Wastuti,1990-02-11,+62 (0866) 979 5882,umaya.wastuti@example.com,Jl. Cihampelas No. 1,6
28,Praba,Hutagalung,1947-07-05,+62-046-157-3605,praba.hutagalung@example.com,Jl. Pasir Koja No. 82,20
29,Rahmi,Sihombing,1996-11-22,+62 (048) 390 5058,rahmi.sihombing@example.com,Jalan Jakarta No. 21,4
30,Dasa,Prasetyo,1987-05-27,+62 (0812) 721-5697,dasa.prasetyo@example.com,Gang Setiabudhi No. 89,26
31,Embuh,Mahendra,1939-02-26,+62 (0091) 564 2961,embuh.mahendra@example.com,Gg. Rawamangun No. 1,28
32,Garang,Putra,1983-05-31,+62-0314-909-6056,garang.putra@example.com,Jalan Kapten Muslihat No. 5,9
33,Putu,Uwais,1962-02-20,+62 (0434) 678-8166,putu.uwais@example.com,Gang Sentot Alibasa No. 823,28
34,Paulin,Yuniar,1944-10-05,085 712 5865,paulin.yuniar@example.com,Gang Tubagus Ismail No. 303,13
35,Ganda,Maryadi,1980-02-29,+62-0437-352-5929,ganda.maryadi@example.com,Gang Rungkut Industri No. 9,4
36,Cager,Halimah,1950-07-22,+62 (088) 398 5341,cager.halimah@example.com,Gang Setiabudhi No. 852,21
37,Anita,Aryani,1942-09-10,+62 (069) 927 1312,anita.aryani@example.com,Gg. Antapani Lama No. 28,1
38,Gadang,Tamba,1939-06-08,0820333165,gadang.tamba@example.com,Jl. Joyoboyo No. 5,26
39,Gaiman,Hutagalung,1946-03-09,+62 (410) 636 8422,gaiman.hutagalung@example.com,Gg. W.R. Supratman No. 447,26
40,Cakrawangsa,Permata,1973-11-11,(014) 043 0878,cakrawangsa.permata@example.com,Jalan Ronggowarsito No. 67,25
41,Cakrabirawa,Puspasari,1969-01-27,+62 (153) 371-9888,cakrabirawa.puspasari@example.com,Gang Wonoayu No. 478,27
42,Raihan,Sihombing,1965-02-28,+62 (0803) 289 5709,raihan.sihombing@example.com,Gang Rumah Sakit No. 0,17
43,Jaka,Samosir,1954-04-01,+62 (0675) 652-6405,jaka.samosir@example.com,Jl. W.R. Supratman No. 4,17
44,Jagapati,Hutasoit,1938-05-18,(0373) 359 9841,jagapati.hutasoit@example.com,Gang Antapani Lama No. 8,12
45,Najam,Damanik,1995-08-01,+62 (0741) 871 7377,najam.damanik@example.com,Jalan W.R. Supratman No. 1,4
46,Pranawa,Lazuardi,1969-02-01,(055) 611 3855,pranawa.lazuardi@example.com,Jl. Medokan Ayu No. 956,18
47,Uda,Lailasari,1986-09-02,+62 (0649) 768 4007,uda.lailasari@example.com,Jalan Laswi No. 706,12
48,Garan,Laksita,1963-09-23,+62 (001) 166-9202,garan.laksita@example.com,Jalan Soekarno Hatta No. 783,26
49,Luwes,Adriansyah,1970-05-07,(0818) 007-7848,luwes.adriansyah@example.com,Jalan Kendalsari No. 4,27
50,Surya,Firgantoro,1945-09-20,+62 (0638) 639-5361,surya.firgantoro@example.com,Gang Pasir Koja No. 1,28
51,Bancar,Uwais,1973-03-22,(099) 811 9909,bancar.uwais@example.com,Jl. Kapten Muslihat No. 7,25
52,Lala,Susanti,1949-05-04,+62 (0640) 859 2983,lala.susanti@example.com,Jalan Dr. Djunjunan No. 5,9
53,Martaka,Mandala,1950-04-29,081 147 3252,martaka.mandala@example.com,Jalan Ahmad Yani No. 57,30
54,Gaduh,Siregar,1984-11-13,0826669174,gaduh.siregar@example.com,Jl. Peta No. 17,24
55,Prakosa,Simbolon,1949-04-28,+62 (53) 511-6463,prakosa.simbolon@example.com,Jalan Rawamangun No. 244,16
56,Siska,Widiastuti,1976-11-19,+62-035-275-8267,siska.widiastuti@example.com,Jl. Lembong No. 9,10
57,Yuliana,Novitasari,1939-06-06,(0881) 492-2971,yuliana.novitasari@example.com,Gg. Pasir Koja No. 83,4
58,Hendra,Anggriawan,1994-08-29,(0690) 738 7539,hendra.anggriawan@example.com,Gang Pasteur No. 7,7
59,Bancar,Budiman,1982-06-22,(0592) 451-9491,bancar.budiman@example.com,Jl. Tubagus Ismail No. 640,2
60,Garang,Widiastuti,1935-07-23,(093) 092 9737,garang.widiastuti@example.com,Gg. Cihampelas No. 01,7
